,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
001039.mp3,5.300871,418.92807,-208.95311,363.6869,-17.999584,249.5926,-75.780525,186.95045,-87.15055,251.97041,-62.31095,302.02658,-112.50382,292.43066,-203.1509,261.61432,-88.47552,201.09189,-123.38201,176.78316,-161.49013,125.87794,-131.55103,109.57922,-347.99496,88.201385,-90.70315,-83.58564,-397.09955,-74.28501,33.15935,85.25307,-242.65913,-208.70943,-98.46481,-30.851992,-349.4639,-103.866455,-92.8227,-112.973885,-83.58433,58.257988,-37.348324,-179.10225,-218.9283,11.522981,-99.173965,-208.8767,-18.814442,-72.96403
001040.mp3,64.7938,350.6132,-141.21574,328.66006,-45.09411,384.12527,-190.11174,203.42177,-156.12729,176.57811,-293.3389,174.01503,-170.73352,76.755745,-269.13306,95.19341,-255.77467,138.94496,-219.69104,185.89693,-204.13657,129.27391,-328.8419,-80.05431,-284.11606,5.481316,-371.49457,-97.530754,-210.92937,-125.01486,-353.53165,-65.87238,-232.21602,-229.41847,-341.34247,-254.57431,-188.92012,56.920635,-66.23764,-35.26995,-57.280174,-69.82355,-191.25159,-199.1407,-53.2994,-123.09177,-251.7708,-21.60545,-88.7202,-226.21594
001066.mp3,-563.9672,681.94305,-121.297554,261.57053,-0.10354564,92.26255,-41.19681,51.49356,-48.53879,118.69743,-14.96004,71.834564,-124.571976,33.54635,-12.715376,78.81035,24.84244,51.20809,10.547727,-1.800887,-336.07565,-310.40378,-68.838806,80.03917,93.2033,75.70394,92.38091,52.736176,-79.71287,-238.33638,-149.8744,-170.22606,-84.78183,-36.525803,118.66821,48.495617,177.65602,232.63213,3.0526574,-293.44064,-96.82809,122.6534,124.690956,-38.95461,-40.264168,-39.681,-104.25996,-68.882385,83.22032,170.1299
001069.mp3,-127.0915,443.9328,-244.9519,200.01437,-78.23996,238.40488,-143.13899,141.26419,-58.265068,277.9465,-244.41458,136.65746,-105.601906,234.71277,-86.26897,246.93524,-22.876764,297.7937,26.225578,79.819435,-253.91893,219.89366,-78.69018,131.10489,-94.96657,12.973727,46.062138,178.45747,-86.48895,-276.67175,-166.87994,491.88687,119.53127,-54.923595,-233.86055,-199.88718,-180.26704,-291.46436,107.33366,112.78205,-41.907413,40.667816,191.51788,-170.68654,-92.43604,-179.32889,-58.119995,-236.40077,-72.45584,668.50635
001073.mp3,-141.64503,439.46747,-56.55555,259.8965,-118.027626,230.80742,-41.511726,190.2558,-124.731705,271.96542,-115.10825,166.25171,-192.0734,150.15309,-218.50711,190.70848,-129.80475,153.00484,-122.68578,124.366554,-265.5771,73.0177,-199.81163,91.683266,-135.4266,59.68877,-47.017624,126.79398,-53.304573,-84.30261,-152.76651,6.7122655,-159.41766,42.002907,-132.86658,16.331871,-51.350365,-55.45652,-187.40105,-115.9358,-171.59254,-82.92481,-64.3627,-93.12705,-84.92943,-118.241806,-180.63692,-50.11605,-89.88365,-91.708466
001075.mp3,-513.7751,350.6781,9.330801,240.63351,76.31435,220.30246,67.7487,197.04417,12.131651,140.80032,-9.97169,147.83356,-12.09466,132.56969,1.6097788,154.52388,35.97864,207.46046,204.7107,303.22803,153.35599,106.95944,48.229214,57.175407,112.12756,65.142296,58.81109,-68.46238,-78.05295,-79.83223,29.056425,10.69892,15.510929,10.452482,77.57729,21.880095,42.18792,52.430832,112.57024,102.814995,79.95495,-24.371126,-68.359085,-108.46609,-30.05556,-44.58676,-61.220867,-153.06485,-56.565453,-11.837303
001082.mp3,-702.5105,599.47095,-152.61415,-158.42154,-106.441055,-193.04366,-104.75884,-133.51357,-246.50638,-149.66995,-77.90655,-274.49396,-343.3529,-253.63147,-238.67885,-208.29503,-60.46994,113.44713,148.14232,27.063286,-257.59183,-401.01407,-265.9263,-194.12741,-182.70845,-127.643425,-113.10018,-263.61426,-295.14923,-2.438941,7.6079173,-303.87064,-360.98193,-222.80032,-84.23094,15.5757265,-77.094376,-189.01303,29.276133,182.80992,-62.881634,-239.33542,-243.67218,-247.22714,-133.9782,-71.444725,-127.61091,21.817556,160.73985,-28.810358
001083.mp3,-88.29044,560.16113,-202.90686,218.64427,-95.269325,159.03291,-38.591263,350.69727,-65.38226,169.72023,-86.04843,138.79378,-128.89798,239.66847,-221.18767,35.613422,-210.0329,-112.38369,-263.9585,98.080505,-180.61075,-146.1709,-221.37776,-144.2349,-344.01114,-137.74773,-151.54037,14.079204,18.314201,-264.86032,-346.50406,-154.75436,-179.43771,-346.0012,-275.0668,-355.7175,-204.68472,-107.178154,-39.942917,-408.90366,-438.83405,-170.28442,-160.96817,-192.32988,-177.82942,-306.4597,-198.34312,-70.070984,-365.28036,-443.29666
001087.mp3,-106.7874,419.35797,-180.66908,521.7334,-105.6421,242.08961,69.88034,159.12692,-56.54087,342.84775,-134.07729,112.64839,-71.1978,220.96176,-82.855995,179.83989,-170.3714,-54.06319,-13.930549,-14.564988,-349.3253,1.8021882,-180.5672,-45.667572,-282.34595,-216.00525,-49.75994,-48.85088,-213.91234,-38.777794,-286.6806,-238.37268,-170.18022,-240.04855,-115.90275,-155.38457,-92.50915,-202.83246,-180.48813,-154.38945,-66.126915,-8.278366,-52.476543,-117.54811,-87.255974,-134.64595,-44.62776,-68.96628,-120.626015,-144.74794
001102.mp3,-564.21124,418.78143,-49.343422,193.51855,23.129269,206.10202,19.208632,229.89516,24.30952,233.56056,115.39471,249.88931,-33.61898,156.18585,-44.159103,133.06792,-10.860594,128.86325,65.85395,109.25167,-108.23079,101.714836,-149.42468,-116.98545,-197.94519,-162.72302,-125.39506,17.177574,-11.900294,-50.661022,-227.05327,-70.078354,-178.17128,-326.19315,-257.00684,-160.22296,-158.22429,-234.71169,-204.94492,-38.156506,-80.33564,-250.91519,-240.70058,-114.87065,-214.2368,-286.98038,-19.508266,33.44505,-68.10373,-0.1808491
